url,identifier,dataset_title,description,thema_name,set_name,subset_name,einheit_kurz,einheit_lang
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_293.csv,23@statistisches-amt-kanton-zuerich,Anteil jur. Pers. an allg. Gemeindesteuern [%],Anteil der juristischen Personen an den allg. Gemeindesteuern (Nettoertrag Rechnungsjahr).,Öffentliche Finanzen,Gemeindesteuern,Steuererträge,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_455.csv,54@statistisches-amt-kanton-zuerich,Privathaushalte Total [Anz.],Anzahl Privathaushalte (ohne Kollektivhaushalte),Bevölkerung und Soziales,Bevölkerungsbestand und Haushalte,Haushalte,Anz.,Anzahl
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_462.csv,55@statistisches-amt-kanton-zuerich,Steuerpflichtige juristische Personen [Anz.],Anzahl steuerpflichtiger juristischer Personen gemäss Steuergrundlagen (kommunales Steuerregister).,Öffentliche Finanzen,Steuerpflichtige,juristische Personen,Anz.,Anzahl
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_586.csv,338@statistisches-amt-kanton-zuerich,Mittlere Betriebe (50-249 VZÄ) [Anz.],Anzahl Mittlere Betriebe mit einer Beschäftigung von 50 - 249 Vollzeitäquivalenten. Aktuellstes Jahr provisorisch.,Arbeit und Unternehmen,"Betriebe, Beschäftigte (Sektoren 1, 2 und 3)",Arbeitsstätten / Betriebe,Anz.,Anzahl
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_322.csv,294@statistisches-amt-kanton-zuerich,Steuerb. Vermögen natürl. Pers. 75%-Quantil [Fr.],"Steuerbares Vermögen natürlicher Personen des Kantonalen Steueramts. Das 75%-Quantil ist ein Schwellenwert: Drei Viertel der Bevölkerung liegt unter, das andere Viertel über diesem Wert.",Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Vermögen,Fr.,Franken
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_320.csv,292@statistisches-amt-kanton-zuerich,Steuerb. Vermögen natürl. Pers. Median [Fr.],"Steuerbares Vermögen natürlicher Personen des Kantonalen Steueramts. Der Median ist ein Schwellenwert: Die Hälfte der Steuerpflichtigen liegt unter, die andere Hälfte über diesem Wert.",Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Vermögen,Fr.,Franken
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_318.csv,249@statistisches-amt-kanton-zuerich,Steuerb. Einkommen natürl. Pers. 75%-Quantil [Fr.],"Steuerbares Einkommen Schweiz steuerpflichtiger natürlicher Personen aus der Bundessteuerstatistik. Das 75%-Quantil ist ein Schwellenwert: Drei Viertel der Bevölkerung liegt unter, das andere Viertel über diesem Wert.",Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,Fr.,Franken
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_317.csv,247@statistisches-amt-kanton-zuerich,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],Steuerbares Einkommen Schweiz steuerpflichtiger natürlicher Personen aus der Bundessteuerstatistik.  (Durchschnitt).,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,Fr.,Franken
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_315.csv,245@statistisches-amt-kanton-zuerich,Steuerb. Einkommen natürl. Pers. 25%-Quantil [Fr.],"Steuerbares Einkommen Schweiz steuerpflichtiger natürlicher Personen aus der Bundessteuerstatistik. Das 25%-Quantil ist ein Schwellenwert: Ein Viertel der Bevölkerung liegt unter, die anderen drei Viertel über diesem Wert.",Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,Fr.,Franken
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_321.csv,293@statistisches-amt-kanton-zuerich,Steuerb. Vermögen natürl. Pers. Durchschn. [Fr.],Steuerbares Vermögen natürlicher Personen des Kantonalen Steueramts. (Durchschnitt).,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Vermögen,Fr.,Franken
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_96.csv,207@statistisches-amt-kanton-zuerich,Geburten [Pers.],Anzahl Geburten pro Jahr,Bevölkerung und Soziales,Bevölkerungsbewegung,Geburten und Sterbefälle,Pers.,Personen
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_469.csv,181@statistisches-amt-kanton-zuerich,Wasserverbrauch pro Tag und Kopf [Liter],"Mittlerer Tagesverbrauch: Die Pro-Kopf-Werte müssen unter Vorbehalt betrachtet werden, da sie auch den Verbrauch von Industrie und Gewerbe mit einschliessen und deshalb nicht als haushaltstypisch angesehen werden können.",Raum und Umwelt,Umwelt,Verbrauch,Liter pro Tag und Einw.,Liter pro Tag und Einwohner
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_187.csv,83@statistisches-amt-kanton-zuerich,Anteil Verkehrsfläche [%],"Anteil Verkehrsfläche an der Gesamtfläche. Die Arealstatistiken werden ca. alle 10 Jahre erhoben. Die letzten vier fanden zwischen 1979-1985, 1992-1997, 2004-2009 und 2013-2018 statt.",Raum und Umwelt,"Geographie, Flächen",Flächen,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_184.csv,66@statistisches-amt-kanton-zuerich,Anteil Waldfläche [%],"Anteil bestockte Fläche (Wald, Gehölze) an der Gesamtfläche. Die Arealstatistiken werden ca. alle 10 Jahre erhoben. Die letzten vier fanden zwischen 1979-1985, 1992-1997, 2004-2009 und 2013-2018 statt.",Raum und Umwelt,"Geographie, Flächen",Flächen,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_183.csv,65@statistisches-amt-kanton-zuerich,Anteil Landwirtschaftsfläche [%],"Anteil landwirtschaftliche Nutzfläche an der Gesamtfläche.Die Arealstatistiken werden ca. alle 10 Jahre erhoben. Die letzten vier fanden zwischen 1979-1985, 1992-1997, 2004-2009 und 2013-2018 statt.",Raum und Umwelt,"Geographie, Flächen",Flächen,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_459.csv,15@statistisches-amt-kanton-zuerich,Anteil unproduktive Fläche [%],"Anteil unproduktiver Fläche (ohne Gewässerfläche). Die Arealstatistiken werden ca. alle 10 Jahre erhoben. Die letzten vier fanden zwischen 1979-1985, 1992-1997, 2004-2009 und 2013-2018 statt.",Raum und Umwelt,"Geographie, Flächen",Flächen,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_186.csv,382@statistisches-amt-kanton-zuerich,Anteil Siedlungsfläche [%],"Anteil Siedlungsfläche (ohne Verkehrsfläche) an der Gesamtfläche. Die Arealstatistiken werden ca. alle 10 Jahre erhoben. Die Arealstatistiken werden ca. alle 10 Jahre erhoben. Die letzten vier fanden zwischen 1979-1985, 1992-1997, 2004-2009 und 2013-2018 statt.",Raum und Umwelt,"Geographie, Flächen",Flächen,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_185.csv,360@statistisches-amt-kanton-zuerich,Anteil Gewässerfläche [%],"Anteil stehender und fliessender Gewässer an der Gesamtfläche ohne Zürichsee (5976 ha auf Kantonsgebiet) und Greifensee (829 ha; jeweils Punktfläche). Die Arealstatistiken werden ca. alle 10 Jahre erhoben. Die letzten vier fanden zwischen 1979-1985, 1992-1997, 2004-2009 und 2013-2018 statt.",Raum und Umwelt,"Geographie, Flächen",Flächen,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_44.csv,179@statistisches-amt-kanton-zuerich,Fläche [ha],"Punktfläche pro Gemeinde; das Kantonstotal inkl. Greifensee (829 ha) und Zürichsee (5976 ha auf Kantonsgebiet). Die Arealstatistiken werden ca. alle 10 Jahre erhoben. Die letzten drei fanden zwischen 1979-1985, 1992-1997, 2004-2009 und 2013-2018 statt.",Raum und Umwelt,"Geographie, Flächen",Flächen,ha,Hektaren
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_43.csv,183@statistisches-amt-kanton-zuerich,Höhe [m.ü.M.],"Höhe des Hauptsiedlungsgebietes, erhoben bei den Gemeinden 1995 (i.d.R. die Höhe des Dorfzentrums, der reformierten Kirche oder des Gemeindehauses)",Raum und Umwelt,"Geographie, Flächen",Höhe,m.ü.M.,Meter über Meer
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_549.csv,297@statistisches-amt-kanton-zuerich,NRW Wähleranteil BDP [%],Wähleranteil BDP bei Nationalsratswahlen. Hinweis: 2015 werden alle Auslandschweizer zur Stadt Zürich gezählt.,Politik,Wähleranteile,Nationalrat,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_122.csv,302@statistisches-amt-kanton-zuerich,NRW Wähleranteil FDP [%],Wähleranteil FDP bei Nationalratswahlen. Hinweis: 2015 werden alle Auslandschweizer zur Stadt Zürich gezählt.,Politik,Wähleranteile,Nationalrat,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_125.csv,303@statistisches-amt-kanton-zuerich,NRW Wähleranteil SVP [%],Wähleranteil SVP bei Nationalratswahlen. Hinweis: 2015 werden alle Auslandschweizer zur Stadt Zürich gezählt.,Politik,Wähleranteile,Nationalrat,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_116.csv,304@statistisches-amt-kanton-zuerich,KRW Wähleranteil FDP [%],Wähleranteil FDP bei Kantonsratswahlen,Politik,Wähleranteile,Kantonsrat,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_119.csv,305@statistisches-amt-kanton-zuerich,KRW Wähleranteil SVP [%],Wähleranteil SVP bei Kantonsratswahlen,Politik,Wähleranteile,Kantonsrat,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_302.csv,359@statistisches-amt-kanton-zuerich,Hotelbetten pro 1000 Einwohner [Anz.],"Anzahl Hotelbetten pro 1000 Einwohner (Bevölkerungsbestand Ende des Vorjahr); Hotelbetten Stand im Juni des Erhebungsjahres. Daten des aktuellsten Jahres sind provisorisch! Daten des Jahres 2004 aus der Erhebung der Statistischen Ämter von Stadt und Kanton Zürich, da das BFS 2004 keine Erhebung duchgeführt hat.",Arbeit und Unternehmen,"Beherbergung, Gastronomie",Hotels,pro 1000 Einw.,pro Tausend Einwohner
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_123.csv,361@statistisches-amt-kanton-zuerich,NRW Wähleranteil GP [%],Wähleranteil GP bei Nationalratswahlen. Hinweis: 2015 werden alle Auslandschweizer zur Stadt Zürich gezählt.,Politik,Wähleranteile,Nationalrat,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_120.csv,377@statistisches-amt-kanton-zuerich,NRW Wähleranteil CVP [%],Wähleranteil CVP bei Nationalratswahlen. Hinweis: 2015 werden alle Auslandschweizer zur Stadt Zürich gezählt.,Politik,Wähleranteile,Nationalrat,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_117.csv,380@statistisches-amt-kanton-zuerich,KRW Wähleranteil GP [%],Wähleranteil GP bei Kantonsratswahlen,Politik,Wähleranteile,Kantonsrat,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_264.csv,208@statistisches-amt-kanton-zuerich,Beschäftigte Landwirtschaft [Pers.],Landwirtschaftlich Beschäftigte (Voll- und Teilzeit); ungleich Beschäftigte des 1. Sektors aus den eidg. Betriebszählungen!,Arbeit und Unternehmen,Landwirtschaft,Beschäftigte Landwirtschaft,Pers.,Personen
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_266.csv,117@statistisches-amt-kanton-zuerich,Kühe [Anz.],Anzahl Kühe,Arbeit und Unternehmen,Landwirtschaft,Vieh,Anz.,Anzahl
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_204.csv,298@statistisches-amt-kanton-zuerich,Bevölkerung: Heimat Ausland [Pers.],"Einwohnerbestand Ende Jahr Heimat Ausland nach zivilrechtlichem Wohnsitz (ab 2010 inkl. vorläufig Aufgenommene, die seit mehr als einem Jahr in der Gemeinde leben, aber ohne Wochenaufenthalter und Asylbewerber). ",Bevölkerung und Soziales,Bevölkerungsbestand und Haushalte,Bevölkerungsbestand,Pers.,Personen
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_193.csv,32@statistisches-amt-kanton-zuerich,Verkäufe Stockwerkeigentum [Anz.],Anzahl verkauftes Stockwerkeigentum (Wohnungen). Die letzten drei Jahre sind provisorisch.,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,Anz.,Anzahl
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_442.csv,13@statistisches-amt-kanton-zuerich,NRW Wähleranteil GLP [%],Wähleranteil GLP bei Nationalratswahlen. Hinweis: 2015 werden alle Auslandschweizer zur Stadt Zürich gezählt.,Politik,Wähleranteile,Nationalrat,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_159.csv,94@statistisches-amt-kanton-zuerich,Geb.Vol. Industrie/Lager: Anteil [%],"Approximatives Gebäudevolumen von Industrie-, Gewerbe- und Lagerbauten",Bau und Immobilien,"Gebäudevolumen, Bauinvestitionen",Gebäudevolumen,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_283.csv,189@statistisches-amt-kanton-zuerich,Steuerbares Einkommen natürliche Pers. [Mio.Fr.],Steuerbares Einkommen natürlicher Personen. Bis 1998: Reineinkommen.,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,Mio.Fr.,Millionen Franken
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_95.csv,206@statistisches-amt-kanton-zuerich,Altersquotient [%],Quantitatives Verhältnis zwischen den über 64-Jährigen und den 20- bis 64-Jährigen.,Bevölkerung und Soziales,Bevölkerungsbestand und Haushalte,Altersstruktur,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_156.csv,221@statistisches-amt-kanton-zuerich,Sterberate (5-J.-mittel) [pro 1000 Einw.],Durchschnittliche Zahl von Sterbefällen im Fünfjahresmittel pro 1000 Einw. Beispiel: Die Zahl von 2003 entspricht dem Mittelwert der Sterbefällen von 1999-2003 in Bezug auf die Einwohnerzahl von 1998.,Bevölkerung und Soziales,Bevölkerungsbewegung,Geburten und Sterbefälle,pro 1000 Einw.,pro Tausend Einwohner
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_444.csv,288@statistisches-amt-kanton-zuerich,KRW Wähleranteil BDP [%],Wähleranteil BDP bei Kantonsratswahlen,Politik,Wähleranteile,Kantonsrat,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_282.csv,138@statistisches-amt-kanton-zuerich,Ø steuerbares Einkommen natürliche Pers. [Fr.],Durchschnittliches steuerbares Einkommen ordentlich besteuerter natürlichen Personen (exkl. Quellensteuerpflichtige und ausserhalb des Kt. wohnhafte). Hinweis: Sehr hohe Beträge einiger weniger Steuerpflichtigen wirken sich entsprechend stark auf den Mittelwert aus. Bis 1998: Reineinkommen.,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,Fr.,Franken
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_149.csv,43@statistisches-amt-kanton-zuerich,Schül. Primarschule [Anz.],Anzahl PrimarschülerInnen (nach Wohnort),Bevölkerung und Soziales,Bildung,Schüler Volksschule,Anz.,Anzahl
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_175.csv,153@statistisches-amt-kanton-zuerich,Bauinv. MFH 5 Jahre [Fr./Einw.],"Durchschnittliche Bauinvestitionen der letzten 5 Jahre im Bereich MFH (Bauinv. für reine Mehrfamilienhäuser), in Franken pro Einwohner.",Bau und Immobilien,"Gebäudevolumen, Bauinvestitionen",Bauinvestitionen,Fr./Einw.,Franken pro Einwohner
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_103.csv,284@statistisches-amt-kanton-zuerich,Bevölkerung: Männeranteil [%],"Männeranteil an der Gesamtbevölkerung nach zivilrechtlichem Wohnsitz (ab 2010 inkl. vorläufig Aufgenommene, die seit mehr als einem Jahr in der Gemeinde leben, aber ohne Wochenaufenthalter und Asylbewerber). ",Bevölkerung und Soziales,Bevölkerungsbestand und Haushalte,Bevölkerungsbestand,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_258.csv,209@statistisches-amt-kanton-zuerich,Erwerb des Schweizer Bürgerrechts [Pers.],"Anzahl Ausländer, die im Kalenderjahr das Schweizer Bürgerrecht erwerben. Hinweis: Ab 2011 Wechsel des Produktionsverfahrens und neue Definition der ständigen Wohnbevölkerung, die zusätzlich Personen im Asylprozess mit einer Gesamtaufenthaltsdauer von mindestens 12 Monaten umfasst.  ",Bevölkerung und Soziales,Bevölkerungsbewegung,Bürgerrechtswechsel,Pers.,Personen
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_118.csv,80@statistisches-amt-kanton-zuerich,KRW Wähleranteil SP [%],Wähleranteil SP bei Kantonsratswahlen,Politik,Wähleranteile,Kantonsrat,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_421.csv,161@statistisches-amt-kanton-zuerich,Nettoaufwand Bildung [Fr./Einw.],Bruttoaufwand - Bruttoertrag (der Laufenden Rechnung). Aussage: Durch Steuern zu finanzierender Anteil des betreffenden Hauptaufgabenbereichs. Grundlage ist die Konsolidierte Gemeinde. Der Haushalt der Schulgemeinde wird dabei anteilsmässig in den Haushalt der poltischen Gemeinden umgelegt. Umstellung des Rechnungsmodells von HRM1 auf HRM2 ab Rechnungsjahr 2019.,Öffentliche Finanzen,Gemeindefinanzen,Gemeinde Nettoaufwand,Fr./Einw.,Franken pro Einwohner
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_583.csv,356@statistisches-amt-kanton-zuerich,Arbeitsstätten im Tertiärsektor [Anz.],"Anzahl Arbeitsstätten des Tertiärsektors (Handel, Instandhaltung/Reparatur, Verkehr/Lagerei, Gastgewerbe/Gastronomie, Information/Kommunikation, Finanz-/Versicherungs-DL, Grundstücks-/Wohnungswesen, weitere DL, öffentliche Verwaltung, Erziehung/Unterrricht, Gesundheit, Kunst). Aktuellstes Jahr provisorisch.",Arbeit und Unternehmen,"Betriebe, Beschäftigte (Sektoren 1, 2 und 3)",Arbeitsstätten / Betriebe,Anz.,Anzahl
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_441.csv,12@statistisches-amt-kanton-zuerich,NRW Wähleranteil EDU [%],Wähleranteil EDU bei Nationalratswahlen. Hinweis: 2015 werden alle Auslandschweizer zur Stadt Zürich gezählt.,Politik,Wähleranteile,Nationalrat,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_440.csv,11@statistisches-amt-kanton-zuerich,NRW Wähleranteil AL [%],Wähleranteil AL bei Nationalratswahlen. Hinweis: 2015 werden alle Auslandschweizer zur Stadt Zürich gezählt.,Politik,Wähleranteile,Nationalrat,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_439.csv,10@statistisches-amt-kanton-zuerich,KRW Wähleranteil SD [%],Wähleranteil SD bei Kantonsratswahlen,Politik,Wähleranteile,Kantonsrat,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_438.csv,9@statistisches-amt-kanton-zuerich,KRW Wähleranteil GLP [%],Wähleranteil GLP bei Kantonsratswahlen,Politik,Wähleranteile,Kantonsrat,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_443.csv,381@statistisches-amt-kanton-zuerich,NRW Wähleranteil SD [%],Wähleranteil SD bei Nationalratswahlen. Hinweis: 2015 werden alle Auslandschweizer zur Stadt Zürich gezählt.,Politik,Wähleranteile,Nationalrat,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_436.csv,7@statistisches-amt-kanton-zuerich,KRW Wähleranteil AL [%],Wähleranteil AL bei Kantonsratswahlen,Politik,Wähleranteile,Kantonsrat,%,Prozent
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_138.csv,226@statistisches-amt-kanton-zuerich,Verpackungsglasmengen [Tonnen],Verpackungsglasmengen aus kommunaler Sammlung von Industrie und Privathaushalten.,Raum und Umwelt,Umwelt,Abfall,Tonnen,Tonnen
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_140.csv,228@statistisches-amt-kanton-zuerich,Wohnungsbestand [Whg.],Wohnungsbestand gemäss GWS. Wohnungsbestand bis 2009 aus Fortschreibung des Wohnungsbestandes der GWZ aufgrund der WBT. Hinweis zu GWS: Die Jahresdifferenz 2009/2010 und 2010/2011 des Wohnungsbestandes entspricht nicht dem Wohnungszugang aufgrund Registerbereinigungen (s. http://www.bfs.admin.ch/bfs/portal/de/index/infothek/erhebungen__quellen/blank/blank/gws/02.html),Bau und Immobilien,"Wohnungen, Wohnbautätigkeit",Wohnungsbestand,Whg.,Wohnungen
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_546.csv,233@statistisches-amt-kanton-zuerich,Apotheken [Anz.],Definition: Alle öffentlichen Apotheken im Kanton Zürich. Aktuellstes Jahr provisorisch. Stand: Anfangs Folgejahr.,Bevölkerung und Soziales,Gesundheit,Aerzte und Apotheken,Anz.,Anzahl
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_547.csv,234@statistisches-amt-kanton-zuerich,Apotheken [pro 1000 Einw.],Definition: Alle öffentlichen Apotheken im Kanton Zürich. Aktuellstes Jahr provisorisch. Stand: Anfangs Folgejahr.,Bevölkerung und Soziales,Gesundheit,Aerzte und Apotheken,pro 1000 Einw.,pro Tausend Einwohner
