"id","theme","title","description","start_date","end_date","download_url","format"
278,"Arbeit, Erwerb","VZÄ im Tertiärsektor [Anz.]","Beschäftigung des Tertiärsektors (Handel, Instandhaltung/Reparatur, Verkehr/Lagerei, Gastgewerbe/Gastronomie, Information/Kommunikation, Finanz-/Versicherungs-DL, Grundstücks-/Wohnungswesen, weitere DL, öffentliche Verwaltung, Erziehung/Unterrricht, Gesundheit, Kunst) in Vollzeitäquivalenten. Aktuellstes Jahr provisorisch. Ab 2015 Berechnung mit neuem Modell, was in Bezug auf die VZÄ zu einem Bruch in der Zeitreihe zwischen 2014 und 2015 führt. Werte < 4 werden nicht ausgewiesen.","2011-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_593.csv","CSV"
20,"Öffentliche Verwaltung und Finanzen","Anteil jur. Pers. an allg. Gemeindesteuern [%]","Anteil der juristischen Personen an den allg. Gemeindesteuern (Nettoertrag Rechnungsjahr).","1990-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_293.csv","CSV"
47,"Bevölkerung","Privathaushalte Total [Anz.]","Anzahl Privathaushalte (ohne Kollektivhaushalte)","1970-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_455.csv","CSV"
48,"Öffentliche Verwaltung und Finanzen","Steuerpflichtige juristische Personen [Anz.]","Anzahl steuerpflichtiger juristischer Personen gemäss Steuergrundlagen (kommunales Steuerregister).","1990-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_462.csv","CSV"
261,"Arbeit, Erwerb","Mittlere Betriebe (50-249 VZÄ) [Anz.]","Anzahl Mittlere Betriebe mit einer Beschäftigung von 50 - 249 Vollzeitäquivalenten. Aktuellstes Jahr provisorisch.","2011-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_586.csv","CSV"
224,"Öffentliche Verwaltung und Finanzen","Steuerb. Vermögen natürl. Pers. 75%-Quantil [Fr.]","Steuerbares Vermögen natürlicher Personen des Kantonalen Steueramts. Das 75%-Quantil ist ein Schwellenwert: Drei Viertel der Bevölkerung liegt unter, das andere Viertel über diesem Wert.","1999-12-31","2020-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_322.csv","CSV"
222,"Öffentliche Verwaltung und Finanzen","Steuerb. Vermögen natürl. Pers. Median [Fr.]","Steuerbares Vermögen natürlicher Personen des Kantonalen Steueramts. Der Median ist ein Schwellenwert: Die Hälfte der Steuerpflichtigen liegt unter, die andere Hälfte über diesem Wert.","1999-12-31","2020-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_320.csv","CSV"
206,"Öffentliche Verwaltung und Finanzen","Steuerb. Einkommen natürl. Pers. 75%-Quantil [Fr.]","Steuerbares Einkommen Schweiz steuerpflichtiger natürlicher Personen aus der Bundessteuerstatistik. Das 75%-Quantil ist ein Schwellenwert: Drei Viertel der Bevölkerung liegt unter, das andere Viertel über diesem Wert.","1999-12-31","2020-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_318.csv","CSV"
205,"Öffentliche Verwaltung und Finanzen","Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.]","Steuerbares Einkommen Schweiz steuerpflichtiger natürlicher Personen aus der Bundessteuerstatistik.  (Durchschnitt).","1999-12-31","2020-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_317.csv","CSV"
203,"Öffentliche Verwaltung und Finanzen","Steuerb. Einkommen natürl. Pers. 25%-Quantil [Fr.]","Steuerbares Einkommen Schweiz steuerpflichtiger natürlicher Personen aus der Bundessteuerstatistik. Das 25%-Quantil ist ein Schwellenwert: Ein Viertel der Bevölkerung liegt unter, die anderen drei Viertel über diesem Wert.","1999-12-31","2020-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_315.csv","CSV"
223,"Öffentliche Verwaltung und Finanzen","Steuerb. Vermögen natürl. Pers. Durchschn. [Fr.]","Steuerbares Vermögen natürlicher Personen des Kantonalen Steueramts. (Durchschnitt).","1999-12-31","2020-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_321.csv","CSV"
170,"Bevölkerung","Geburten [Pers.]","Anzahl Geburten pro Jahr","1990-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_96.csv","CSV"
145,"Raum, Umwelt","Wasserverbrauch pro Tag und Kopf [Liter]","Mittlerer Tagesverbrauch: Die Pro-Kopf-Werte müssen unter Vorbehalt betrachtet werden, da sie auch den Verbrauch von Industrie und Gewerbe mit einschliessen und deshalb nicht als haushaltstypisch angesehen werden können.","2006-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_469.csv","CSV"
69,"Raum, Umwelt","Anteil Verkehrsfläche [%]","Anteil Verkehrsfläche an der Gesamtfläche. Die Arealstatistiken werden ca. alle 10 Jahre erhoben. Die letzten vier fanden zwischen 1979-1985, 1992-1997, 2004-2009 und 2013-2018 statt.","1983-12-31","2018-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_187.csv","CSV"
56,"Raum, Umwelt","Anteil Waldfläche [%]","Anteil bestockte Fläche (Wald, Gehölze) an der Gesamtfläche. Die Arealstatistiken werden ca. alle 10 Jahre erhoben. Die letzten vier fanden zwischen 1979-1985, 1992-1997, 2004-2009 und 2013-2018 statt.","1983-12-31","2018-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_184.csv","CSV"
55,"Raum, Umwelt","Anteil Landwirtschaftsfläche [%]","Anteil landwirtschaftliche Nutzfläche an der Gesamtfläche.Die Arealstatistiken werden ca. alle 10 Jahre erhoben. Die letzten vier fanden zwischen 1979-1985, 1992-1997, 2004-2009 und 2013-2018 statt.","1983-12-31","2018-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_183.csv","CSV"
14,"Raum, Umwelt","Anteil unproduktive Fläche [%]","Anteil unproduktiver Fläche (ohne Gewässerfläche). Die Arealstatistiken werden ca. alle 10 Jahre erhoben. Die letzten vier fanden zwischen 1979-1985, 1992-1997, 2004-2009 und 2013-2018 statt.","1983-12-31","2018-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_459.csv","CSV"
301,"Raum, Umwelt","Anteil Siedlungsfläche [%]","Anteil Siedlungsfläche (ohne Verkehrsfläche) an der Gesamtfläche. Die Arealstatistiken werden ca. alle 10 Jahre erhoben. Die Arealstatistiken werden ca. alle 10 Jahre erhoben. Die letzten vier fanden zwischen 1979-1985, 1992-1997, 2004-2009 und 2013-2018 statt.","1983-12-31","2018-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_186.csv","CSV"
281,"Raum, Umwelt","Anteil Gewässerfläche [%]","Anteil stehender und fliessender Gewässer an der Gesamtfläche ohne Zürichsee (5976 ha auf Kantonsgebiet) und Greifensee (829 ha; jeweils Punktfläche). Die Arealstatistiken werden ca. alle 10 Jahre erhoben. Die letzten vier fanden zwischen 1979-1985, 1992-1997, 2004-2009 und 2013-2018 statt.","1983-12-31","2018-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_185.csv","CSV"
143,"Raum, Umwelt","Fläche [ha]","Punktfläche pro Gemeinde; das Kantonstotal inkl. Greifensee (829 ha) und Zürichsee (5976 ha auf Kantonsgebiet). Die Arealstatistiken werden ca. alle 10 Jahre erhoben. Die letzten drei fanden zwischen 1979-1985, 1992-1997, 2004-2009 und 2013-2018 statt.","1983-12-31","2018-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_44.csv","CSV"
147,"Raum, Umwelt","Höhe [m.ü.M.]","Höhe des Hauptsiedlungsgebietes, erhoben bei den Gemeinden 1995 (i.d.R. die Höhe des Dorfzentrums, der reformierten Kirche oder des Gemeindehauses)","1995-12-31","1995-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_43.csv","CSV"
227,"Politik","NRW Wähleranteil BDP [%]","Wähleranteil BDP bei Nationalsratswahlen. Hinweis: 2015 werden alle Auslandschweizer zur Stadt Zürich gezählt.","2011-12-31","2019-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_549.csv","CSV"
232,"Politik","NRW Wähleranteil FDP [%]","Wähleranteil FDP bei Nationalratswahlen. Hinweis: 2015 werden alle Auslandschweizer zur Stadt Zürich gezählt.","1991-12-31","2019-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_122.csv","CSV"
233,"Politik","NRW Wähleranteil SVP [%]","Wähleranteil SVP bei Nationalratswahlen. Hinweis: 2015 werden alle Auslandschweizer zur Stadt Zürich gezählt.","1991-12-31","2019-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_125.csv","CSV"
234,"Politik","KRW Wähleranteil FDP [%]","Wähleranteil FDP bei Kantonsratswahlen","2007-12-31","2023-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_116.csv","CSV"
235,"Politik","KRW Wähleranteil SVP [%]","Wähleranteil SVP bei Kantonsratswahlen","2007-12-31","2023-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_119.csv","CSV"
280,"Industrie, Dienstleistungen","Hotelbetten pro 1000 Einwohner [Anz.]","Anzahl Hotelbetten pro 1000 Einwohner (Bevölkerungsbestand Ende des Vorjahr); Hotelbetten Stand im Juni des Erhebungsjahres. Daten des aktuellsten Jahres sind provisorisch! Daten des Jahres 2004 aus der Erhebung der Statistischen Ämter von Stadt und Kanton Zürich, da das BFS 2004 keine Erhebung duchgeführt hat.","1990-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_302.csv","CSV"
282,"Politik","NRW Wähleranteil GP [%]","Wähleranteil GP bei Nationalratswahlen. Hinweis: 2015 werden alle Auslandschweizer zur Stadt Zürich gezählt.","1991-12-31","2019-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_123.csv","CSV"
296,"Politik","NRW Wähleranteil CVP [%]","Wähleranteil CVP bei Nationalratswahlen. Hinweis: 2015 werden alle Auslandschweizer zur Stadt Zürich gezählt.","1991-12-31","2019-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_120.csv","CSV"
299,"Politik","KRW Wähleranteil GP [%]","Wähleranteil GP bei Kantonsratswahlen","2007-12-31","2023-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_117.csv","CSV"
171,"Land- und Forstwirtschaft","Beschäftigte Landwirtschaft [Pers.]","Landwirtschaftlich Beschäftigte (Voll- und Teilzeit); ungleich Beschäftigte des 1. Sektors aus den eidg. Betriebszählungen!","1985-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_264.csv","CSV"
97,"Land- und Forstwirtschaft","Kühe [Anz.]","Anzahl Kühe","1985-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_266.csv","CSV"
228,"Bevölkerung","Bevölkerung: Heimat Ausland [Pers.]","Einwohnerbestand Ende Jahr Heimat Ausland nach zivilrechtlichem Wohnsitz (ab 2010 inkl. vorläufig Aufgenommene, die seit mehr als einem Jahr in der Gemeinde leben, aber ohne Wochenaufenthalter und Asylbewerber). ","1978-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_204.csv","CSV"
28,"Bau- und Wohnungswesen","Verkäufe Stockwerkeigentum [Anz.]","Anzahl verkauftes Stockwerkeigentum (Wohnungen). Die letzten drei Jahre sind provisorisch.","2007-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_193.csv","CSV"
12,"Politik","NRW Wähleranteil GLP [%]","Wähleranteil GLP bei Nationalratswahlen. Hinweis: 2015 werden alle Auslandschweizer zur Stadt Zürich gezählt.","2007-12-31","2019-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_442.csv","CSV"
75,"Bau- und Wohnungswesen","Geb.Vol. Industrie/Lager: Anteil [%]","Approximatives Gebäudevolumen von Industrie-, Gewerbe- und Lagerbauten","1990-12-31","2023-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_159.csv","CSV"
153,"Öffentliche Verwaltung und Finanzen","Steuerbares Einkommen natürliche Pers. [Mio.Fr.]","Steuerbares Einkommen natürlicher Personen. Bis 1998: Reineinkommen.","1990-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_283.csv","CSV"
169,"Bevölkerung","Altersquotient [%]","Quantitatives Verhältnis zwischen den über 64-Jährigen und den 20- bis 64-Jährigen.","1998-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_95.csv","CSV"
184,"Bevölkerung","Sterberate (5-J.-mittel) [pro 1000 Einw.]","Durchschnittliche Zahl von Sterbefällen im Fünfjahresmittel pro 1000 Einw. Beispiel: Die Zahl von 2003 entspricht dem Mittelwert der Sterbefällen von 1999-2003 in Bezug auf die Einwohnerzahl von 1998.","1994-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_156.csv","CSV"
218,"Politik","KRW Wähleranteil BDP [%]","Wähleranteil BDP bei Kantonsratswahlen","2011-12-31","2019-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_444.csv","CSV"
104,"Öffentliche Verwaltung und Finanzen","Ø steuerbares Einkommen natürliche Pers. [Fr.]","Durchschnittliches steuerbares Einkommen ordentlich besteuerter natürlichen Personen (exkl. Quellensteuerpflichtige und ausserhalb des Kt. wohnhafte). Hinweis: Sehr hohe Beträge einiger weniger Steuerpflichtigen wirken sich entsprechend stark auf den Mittelwert aus. Bis 1998: Reineinkommen.","1990-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_282.csv","CSV"
36,"Bildung, Wissenschaft","Schül. Primarschule [Anz.]","Anzahl PrimarschülerInnen (nach Wohnort)","1990-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_149.csv","CSV"
118,"Bau- und Wohnungswesen","Bauinv. MFH 5 Jahre [Fr./Einw.]","Durchschnittliche Bauinvestitionen der letzten 5 Jahre im Bereich MFH (Bauinv. für reine Mehrfamilienhäuser), in Franken pro Einwohner.","1998-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_175.csv","CSV"
214,"Bevölkerung","Bevölkerung: Männeranteil [%]","Männeranteil an der Gesamtbevölkerung nach zivilrechtlichem Wohnsitz (ab 2010 inkl. vorläufig Aufgenommene, die seit mehr als einem Jahr in der Gemeinde leben, aber ohne Wochenaufenthalter und Asylbewerber). ","1991-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_103.csv","CSV"
172,"Bevölkerung","Erwerb des Schweizer Bürgerrechts [Pers.]","Anzahl Ausländer, die im Kalenderjahr das Schweizer Bürgerrecht erwerben. Hinweis: Ab 2011 Wechsel des Produktionsverfahrens und neue Definition der ständigen Wohnbevölkerung, die zusätzlich Personen im Asylprozess mit einer Gesamtaufenthaltsdauer von mindestens 12 Monaten umfasst.  ","1990-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_258.csv","CSV"
66,"Politik","KRW Wähleranteil SP [%]","Wähleranteil SP bei Kantonsratswahlen","2007-12-31","2023-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_118.csv","CSV"
126,"Öffentliche Verwaltung und Finanzen","Nettoaufwand Bildung [Fr./Einw.]","Bruttoaufwand - Bruttoertrag (der Laufenden Rechnung). Aussage: Durch Steuern zu finanzierender Anteil des betreffenden Hauptaufgabenbereichs. Grundlage ist die Konsolidierte Gemeinde. Der Haushalt der Schulgemeinde wird dabei anteilsmässig in den Haushalt der poltischen Gemeinden umgelegt. Umstellung des Rechnungsmodells von HRM1 auf HRM2 ab Rechnungsjahr 2019.","1990-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_421.csv","CSV"
277,"Arbeit, Erwerb","Arbeitsstätten im Tertiärsektor [Anz.]","Anzahl Arbeitsstätten des Tertiärsektors (Handel, Instandhaltung/Reparatur, Verkehr/Lagerei, Gastgewerbe/Gastronomie, Information/Kommunikation, Finanz-/Versicherungs-DL, Grundstücks-/Wohnungswesen, weitere DL, öffentliche Verwaltung, Erziehung/Unterrricht, Gesundheit, Kunst). Aktuellstes Jahr provisorisch.","2011-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_583.csv","CSV"
11,"Politik","NRW Wähleranteil EDU [%]","Wähleranteil EDU bei Nationalratswahlen. Hinweis: 2015 werden alle Auslandschweizer zur Stadt Zürich gezählt.","1991-12-31","2019-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_441.csv","CSV"
10,"Politik","NRW Wähleranteil AL [%]","Wähleranteil AL bei Nationalratswahlen. Hinweis: 2015 werden alle Auslandschweizer zur Stadt Zürich gezählt.","1999-12-31","2019-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_440.csv","CSV"
9,"Politik","KRW Wähleranteil SD [%]","Wähleranteil SD bei Kantonsratswahlen","1999-12-31","2015-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_439.csv","CSV"
8,"Politik","KRW Wähleranteil GLP [%]","Wähleranteil GLP bei Kantonsratswahlen","2007-12-31","2023-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_438.csv","CSV"
300,"Politik","NRW Wähleranteil SD [%]","Wähleranteil SD bei Nationalratswahlen. Hinweis: 2015 werden alle Auslandschweizer zur Stadt Zürich gezählt.","1991-12-31","2019-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_443.csv","CSV"
6,"Politik","KRW Wähleranteil AL [%]","Wähleranteil AL bei Kantonsratswahlen","2007-12-31","2023-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_436.csv","CSV"
189,"Raum, Umwelt","Verpackungsglasmengen [Tonnen]","Verpackungsglasmengen aus kommunaler Sammlung von Industrie und Privathaushalten.","1996-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_138.csv","CSV"
190,"Bau- und Wohnungswesen","Wohnungsbestand [Whg.]","Wohnungsbestand gemäss GWS. Wohnungsbestand bis 2009 aus Fortschreibung des Wohnungsbestandes der GWZ aufgrund der WBT. Hinweis zu GWS: Die Jahresdifferenz 2009/2010 und 2010/2011 des Wohnungsbestandes entspricht nicht dem Wohnungszugang aufgrund Registerbereinigungen.","1990-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_140.csv","CSV"
195,"Gesundheit","Apotheken [Anz.]","Definition: Alle öffentlichen Apotheken im Kanton Zürich. Aktuellstes Jahr provisorisch. Stand: Anfangs Folgejahr.","1990-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_546.csv","CSV"
196,"Gesundheit","Apotheken [pro 1000 Einw.]","Definition: Alle öffentlichen Apotheken im Kanton Zürich. Aktuellstes Jahr provisorisch. Stand: Anfangs Folgejahr.","1990-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_547.csv","CSV"
197,"Bau- und Wohnungswesen","Anteil 1 Zi.-Wohnungen [%]","Anteil 1 Zi.-Wohnungen am Wohnungsbestand. Wohnungsbestand gemäss GWS. Wohnungsbestand bis 2009 aus Fortschreibung des Wohnungsbestandes der GWZ aufgrund der WBT.","1990-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_360.csv","CSV"
198,"Bau- und Wohnungswesen","Anteil 2 Zi.-Wohnungen [%]","Anteil 2 Zi.-Wohnungen am Wohnungsbestand. Wohnungsbestand aufgrund Fortschreibung der GWZ mit Daten der WBT.","1990-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_361.csv","CSV"
201,"Bau- und Wohnungswesen","Anteil 4 Zi.-Wohnungen [%]","Anteil 4 Zi.-Wohnungen am Wohnungsbestand. Wohnungsbestand gemäss GWS. Wohnungsbestand bis 2009 aus Fortschreibung des Wohnungsbestandes der GWZ aufgrund der WBT.","1990-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_363.csv","CSV"
213,"Bevölkerung","Bevölkerung: Männer [Pers.]","Einwohnerbestand Männer nach zivilrechtlichem Wohnsitz (ab 2010 inkl. vorläufig Aufgenommene, die seit mehr als einem Jahr in der Gemeinde leben, aber ohne Wochenaufenthalter und Asylbewerber). ","1991-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_100.csv","CSV"
215,"Bevölkerung","Bevölkerung: Heimat Schweiz [Pers.]","Einwohnerbestand Heimat Schweiz nach zivilrechtlichem Wohnsitz (ab 2010 inkl. vorläufig Aufgenommene, die seit mehr als einem Jahr in der Gemeinde leben, aber ohne Wochenaufenthalter und Asylbewerber). ","1978-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_805.csv","CSV"
219,"Bevölkerung","Bevölkerung: Durchschnittsalter [Jahre]","Durchschnittsalter Ende Jahr (zivilrechtlicher Wohnsitz; ab 2010 inkl. vorläufig Aufgenommene, die seit mehr als einem Jahr in der Gemeinde leben, aber ohne Wochenaufenthalter und Asylbewerber).","2009-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_809.csv","CSV"
225,"Soziale Sicherheit","Sozialhilfequote [%]","Berechnung: Die Sozialhilfequote berechnet sich aus dem Anteil der Sozialhilfeempfänger/innen zur gesamten Bevölkerung. Bei Gemeinden, die weniger als 5 Fälle haben, wird keine Quote ausgewiesen. (Referenzpopulation im Gemeindeporträt: kantonale Bevölkerungserhebung. Das BFS verwendet für die Berechnung seiner Quoten als Referenzpopulation STATPOP des Vorjahres.)","2007-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_541.csv","CSV"
226,"Preise","Baulandpreis (gewichteter Median) [Fr./m2]","Gewichteter Medianpreis aller Freihandverkäufe von unbebautem Land der Wohn- und Mischzone inkl. Abbruchliegenschaften. Die letzten drei Jahre sind provisorisch. Keine Angaben bei weniger als 4 Transaktionen. Weitere Infos: www.statistik.zh.ch/bodenpreise","1974-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_199.csv","CSV"
229,"Bevölkerung","Bevölkerung: Anteil 80 u.m.-Jährige [%]","Anteil 80-Jähriger und älterer Personen an der Gesamtbevölkerung nach zivilrechtlichem Wohnsitz (ab 2010 inkl. vorläufig Aufgenommene,die seit mehr als einem Jahr in der Gemeinde leben, aber ohne Wochenaufenthalter und Asylbewerber). ","1998-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_91.csv","CSV"
230,"Öffentliche Verwaltung und Finanzen","Steuerkraft (arith. Mittel 3 Jahre) [Mio.Fr.]","Steuerkraft absolut (Nettosteuerertrag zu 100%): arithm. Mittel der letzten 3 Jahre.","1990-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_375.csv","CSV"
231,"Öffentliche Verwaltung und Finanzen","Steuerertrag von natürlichen Personen [Mio.Fr.]","Steuerertrag natürliche Personen (Nettoertrag Rechnungsjahr).","1990-12-31","2022-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_299.csv","CSV"
